period,ratio
2017-01-02,4.917118572362603
2017-01-09,15.147494327141263
2017-01-16,3.574862505288259
2017-01-23,0.0
2017-01-30,3.5556324756740114
2017-02-06,4.559440021537633
2017-02-13,5.376716280143071
2017-02-20,7.995846313603322
2017-02-27,8.047767393561786
2017-03-06,13.411022652974886
2017-03-13,13.326410522672205
2017-03-20,14.166762816814737
2017-03-27,17.30894965578247
2017-04-03,17.810853428714278
2017-04-10,16.92627206645898
2017-04-17,19.001192261836085
2017-04-24,25.46055920926118
2017-05-01,22.58759278489289
2017-05-08,24.99519249259644
2017-05-15,23.408715049421176
2017-05-22,22.306834352524902
2017-05-29,21.96069381946848
2017-06-05,23.031806468981962
2017-06-12,26.10091919541556
2017-06-19,25.464405215184033
2017-06-26,27.925849005807468
2017-07-03,30.07576631668013
2017-07-10,32.060305372870275
2017-07-17,28.666205145955924
2017-07-24,26.014384062151457
2017-07-31,21.451098034690975
2017-08-07,23.904849813468715
2017-08-14,25.614399446175145
2017-08-21,23.40102303757548
2017-08-28,23.17026268220453
2017-09-04,21.16264759047729
2017-09-11,21.189569631937232
2017-09-18,23.187569708857353
2017-09-25,12.936040921503016
2017-10-02,4.609438098534671
2017-10-09,12.020691511864928
2017-10-16,10.303449867312796
2017-10-23,8.211222645282874
2017-10-30,8.032383369870388
2017-11-06,6.478596977039344
2017-11-13,8.236221683781391
2017-11-20,4.982500673051035
2017-11-27,4.967116649359641
2017-12-04,6.332448751971079
2017-12-11,8.299680781508403
2017-12-18,5.919003115264799
2017-12-25,7.4420214607130495
2018-01-01,8.02853736394754
2018-01-08,11.14380216145533
2018-01-15,13.436021691473405
2018-01-22,14.085996692434904
2018-01-29,16.68589669628091
2018-02-05,15.316718587746625
2018-02-12,8.365062882196838
2018-02-19,17.441636860120763
2018-02-26,21.114572516441676
2018-03-05,21.860697665474405
2018-03-12,23.94523287565863
2018-03-19,27.047036652436447
2018-03-26,36.56205530556517
2018-04-02,42.75220183839083
2018-04-09,44.7463559093881
2018-04-16,53.79600784585208
2018-04-23,56.0516903196031
2018-04-30,65.2994115610938
2018-05-07,65.32633360255376
2018-05-14,73.97215491711857
2018-05-21,75.52978731587247
2018-05-28,78.8277373947156
2018-06-04,75.81631475712473
2018-06-11,75.3990231144956
2018-06-18,81.69878081612246
2018-06-25,75.1874927887389
2018-07-02,71.74531748778892
2018-07-09,74.83942925272105
2018-07-16,73.15487865851313
2018-07-23,83.66985885158263
2018-07-30,68.48198146225145
2018-08-06,65.7301642244529
2018-08-13,80.78727741240722
2018-08-20,76.68166608976577
2018-08-27,68.11468789661936
2018-09-03,69.9184646744356
2018-09-10,63.62062997577016
2018-09-17,49.83654474827891
2018-09-24,38.36967808930426
2018-10-01,47.828929656551665
2018-10-08,45.89631168031999
2018-10-15,43.26756663205261
2018-10-22,41.477250874966344
2018-10-29,34.06215145571324
2018-11-05,55.86131302642207
2018-11-12,54.06907426637437
2018-11-19,36.019768470443445
2018-11-26,32.379523864466755
2018-12-03,39.89846544363679
2018-12-10,30.550748048151995
2018-12-17,27.295104034460216
2018-12-24,17.460866889735012
2018-12-31,18.38006230529595
2019-01-07,22.770278066228222
2019-01-14,26.84896734740971
2019-01-21,31.16803199876928
2019-01-28,30.087304334448678
2019-02-04,23.652936425522096
2019-02-11,40.45805930541133
2019-02-18,47.65393638706203
2019-02-25,49.369255028652745
2019-03-04,51.07111264951348
2019-03-11,57.34971731856467
2019-03-18,65.69939617707011
2019-03-25,68.48582746817429
2019-04-01,74.20291527248952
2019-04-08,76.35283258336219
2019-04-15,86.91973385639015
2019-04-22,93.3771778008538
2019-04-29,96.49244259836159
2019-05-06,96.8674281758394
2019-05-13,98.15584015999384
2019-05-20,100.0
2019-05-27,93.56178608515057
2019-06-03,94.54059459251567
2019-06-10,96.49051959540017
2019-06-17,91.75608630437291
2019-06-24,94.0963809084266
2019-07-01,90.89458097765471
2019-07-08,88.30814199453869
2019-07-15,83.96407830468058
2019-07-22,81.34879427714318
2019-07-29,79.66039767701243
2019-08-05,73.58370831891081
2019-08-12,79.71616476289374
2019-08-19,77.25664397523173
2019-08-26,80.1988385062113
2019-09-02,72.9875774008692
2019-09-09,57.4304834429445
2019-09-16,62.712972577977766
2019-09-23,54.30752663359102
2019-09-30,52.238375447098186
2019-10-07,49.12887965847468
2019-10-14,44.54828660436137
2019-10-21,45.76939348486597
2019-10-28,41.07534325602862
2019-11-04,39.521556863197574
2019-11-11,37.19280027691243
2019-11-18,33.494865582093
2019-11-25,32.91411868774278
2019-12-02,35.471712626437444
2019-12-09,39.154263297565485
2019-12-16,36.24668281989154
2019-12-23,34.25252874889427
2019-12-30,32.75835544786739
2020-01-06,38.2946809738087
2020-01-13,49.009653474866354
2020-01-20,44.25983616014769
2020-01-27,45.29633475635553
